AK    Donald Young       R    Y       Y     Y     N
CT    Nancy Johnson      R    Y       N     N     Y
AL    Robert Cramer      D    Y       Y     Y     Y
FL    Kendrick Meek      D    Y       N     N     N
MI    Peter Hoekstra     R    N       Y     Y     Y
NY    Louise Slaughter   D    N       N     N     Y
CA    David Dreier       R    N       Y     Y     N
VA    James Forbes       R    Y       Y     Y     Y
FL    Bill Young         R    Y       Y     Y     Y
ME    Michael Michaud    D    Y       Y     N     Y
NY    Jack Quinn         R    Y       Y     -     N
VA    JoAnn Davis        R    Y       Y     Y     Y
AR    Mike Ross          D    Y       Y     Y     Y
CA    Linda Sanchez      D    N       N     N     Y
WA    Adam Smith         D    -       -     N     N
OH    Deborah Pryce      R    Y       Y     Y     N
IL    William Lipinski   D    Y       Y     Y     Y
CA    Xavier Becerra     D    N       N     N     Y
CA    Randall Cunningham R    Y       Y     Y     N
GA    John Linder        R    Y       Y     Y     N
ND    Earl Pomeroy       D    Y       Y     Y     Y
TX    William Thornberry R    Y       Y     Y     Y
NY    Sue Kelly          R    Y       Y     Y     N
MI    Mike Rogers        R    Y       Y     Y     Y
IN    Chris Chocola      R    Y       Y     Y     N
CA    Jerry Lewis        R    Y       Y     Y     N
MI    Joseph Knollenberg R    Y       Y     Y     N
SC    Jim DeMint         R    Y       Y     Y     Y
TX    Joe Barton         R    Y       Y     Y     N
MA    John Olver         D    N       N     N     Y
CA    Lois Capps         D    Y       N     N     Y
TX    Jeb Hensarling     R    Y       Y     Y     Y
CO    Thomas Tancredo    R    Y       Y     Y     Y
HI    Neil Abercrombie   D    N       N     N     Y
AR    Marion Berry       D    Y       Y     N     Y
CA    Diane Watson       D    N       N     N     Y
MD    Benjamin Cardin    D    N       N     N     N
FL    Adam Putnam        R    Y       Y     Y     N
CA    Nancy Pelosi       D    N       N     N     Y
WA    George Nethercutt  R    Y       Y     Y     N
PA    Robert Brady       D    N       N     Y     Y
CO    Joel Hefley        R    Y       Y     Y     N
MN    James Ramstad      R    Y       Y     Y     Y
CA    Christopher Cox    R    Y       Y     Y     N
WA    Norman Dicks       D    N       -     N     Y
FL    Alcee Hastings     D    -       N     N     Y
AR    John Boozman       R    Y       Y     Y     Y
IA    Thomas Latham      R    Y       Y     Y     N
NC    Walter Jones       R    Y       Y     Y     Y
NY    Vito Fossella      R    Y       Y     Y     N
NC    David Price        D    N       N     N     N
KY    Harold Rogers      R    Y       Y     Y     N
IN    Peter Visclosky    D    N       Y     Y     N
CA    Robert Matsui      D    N       N     N     N
WI    Gerald Kleczka     D    N       Y     N     Y
